Statistical Region,KP Tracker ID,KP Tracker District ,KP Tracker Subcounty,KP Tracker Service outlet,KP Tracker Mechanism name,KP Tracker US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name ,IM ID,Agency,Period,Comment,IP Comment for action to be taken,PREP _CT Overall Total,PrEP_CT  Total Female,PrEP_CT  Total Male,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total,Positive Total,Negative Total,Other,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total KP received PrEP_CT,"MSM, Male",Sub-total Transgender,"Sex Workers, Female",PWID,People in prisons and other enclosed settings (Incarcerated Population),Pregnant,Breast feeding,Health Facility,Community,Oral,Injectable,Other including Ring,Ring,EDV PREP,Adolescents and young women (10-24) years,Clients of sex workers,"Displaced persons (e.g., refugees) ",Fishing communities ,"Military and other uniformed services (including police, border guards, and security workers),Female ","Mobile Populations (e.g., migrant workers, truck drivers) ",Truck drivers,Non-injecting drug users,Discordant Couples,Other
North Central,vSPwh0RCueD,Kassanda District,Kassanda Town Council,Kassanda HC IV,Baylor Fort Portal_Mubende Region,,bIrnEvmdSgq,vSPwh0RCueD,Kassanda District,Kassanda Town Council,Kassanda HC IV,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,209,162,47,46,2,65,10,32,12,13,15,6,,,2,,2,,4,209,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,65,10,32,12,13,15,6,0,0,2,0,2,0,4,100,0,0,100,0,0,10,2,7,206,209,0,0,0,0,51,41,0,0,0,0,1,0,5,3
Kampala,vTqB8UrtjVT,Kampala District,Central Division,Kamwokya Christian Caring Community HC III,UEC,,yR6WVV06zx1,vTqB8UrtjVT,Kampala District,Central Division,Kamwokya Christian Caring Community HC III,UEC,81974,CDC,Oct-Dec 2024,,,15,8,7,,,3,2,1,5,,,1,,1,,1,,1,,15,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,4,0,0,1,0,1,0,1,0,1,0,4,0,0,3,1,0,1,0,14,8,15,0,0,0,3,4,3,0,0,1,1,2,0,6,0
Bunyoro,vULcvu1i8di,Kikuube District,Kyangwali Subcounty,Buhuuka HC III,Baylor_Hoima Region,,eoYpqfvbhcI,vULcvu1i8di,Kikuube District,Kyangwali Subcounty,Buhuuka Health Centre II,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,2,1,1,,,,1,,,1,,,,,,,,,,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ankole,VvGZi1LcYyP,Rubirizi District,Rubirizi Town Council,Rugazi HC IV,TASO_Ankole Acholi Region,,pjDq93HeAy4,VvGZi1LcYyP,Rubirizi District,Rubirizi Town Council,Rugazi HC IV,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,52,33,19,1,,9,5,3,3,7,7,7,3,2,,3,,1,1,52,0,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,8,5,2,3,7,6,7,3,2,0,3,0,1,1,11,0,0,11,0,0,0,0,45,8,52,0,0,0,0,0,6,0,0,0,0,0,0,24,12
Bunyoro,VyKflstsoTt,Hoima District,Buhanika Subcounty,Butema HC III,Baylor_Hoima Region,,JYwplZ7bq2f,VyKflstsoTt,Hoima District,Buhanika Subcounty,Butema HC III,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,118,113,5,16,,30,1,47,2,14,,4,,2,1,,,,1,118,0,7,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,15,0,28,1,44,2,13,0,4,0,2,1,0,0,0,1,163,0,0,162,1,0,1,0,2,175,116,0,0,0,0,0,12,0,0,0,0,0,0,1,0
Teso,VZvZyX8jBB4,Katakwi District,Magoro Subcounty,Magoro HC III,AIC_Soroti Region,,ANCbNAWX0eJ,VZvZyX8jBB4,Katakwi District,Magoro Subcounty,Magoro HC III,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tooro,W4WTbuj52ZD,Kyenjojo District,Kifuka Town Council,Bufunjo HC III,Baylor Fort Portal_Mubende Region,,p6uOnNcW9sP,W4WTbuj52ZD,Kyenjojo District,Kifuka Town Council,Bufunjo HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,77,48,29,2,1,9,2,25,10,8,11,2,4,2,1,,,,,77,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,2,25,10,8,11,2,4,2,1,0,0,0,0,46,0,0,46,0,0,0,0,1,76,77,0,0,0,0,2,24,0,0,0,4,0,0,1,0
South Central,w53Iyr73JjT,Lwengo District,Lwengo Subcounty,Kyetume HC III,IDI_Masaka Wakiso Region,,VNAZhooC5tv,w53Iyr73JjT,Lwengo District,Lwengo Subcounty,Kyetume HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,131,71,60,16,7,32,11,10,11,10,4,1,9,1,8,1,2,,8,131,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,32,11,10,11,10,4,1,9,1,8,1,2,0,8,53,1,0,52,0,0,2,0,1,183,131,0,0,0,38,25,82,0,0,0,6,1,0,11,2
Ankole,w710lzfn4pu,Rwampara District,Buteraniro-Nyeihanga Town Council,Ndeija HC III,TASO_Ankole Acholi Region,,QCLDkNaVRre,w710lzfn4pu,Rwampara District,Buteraniro-Nyeihanga Town Council,Ndeija HC III,,,,Oct-Dec 2024,Site has outputs but not on DAPOTS list,,52,37,15,6,1,19,4,10,5,1,1,1,2,,2,,,,,52,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,19,4,10,5,1,1,1,2,0,2,0,0,0,0,36,3,0,33,0,0,3,0,3,49,52,0,0,0,0,0,12,0,0,0,0,0,0,1,0
Tooro,w73evLideQA,Kitagwenda District,Kitagwenda Town Council,Ntara HC IV,Baylor Fort Portal_Mubende Region,,WSOyuPJcG6c,w73evLideQA,Kitagwenda District,Kitagwenda Town Council,Ntara HC IV,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,285,271,14,42,,114,,70,4,24,3,13,2,2,2,4,1,2,2,285,0,1,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,113,0,70,4,24,3,13,2,2,2,4,1,2,2,263,0,0,263,0,0,0,0,0,291,285,0,0,0,0,9,2,0,2,0,0,0,0,7,3
Lango,WEH3aMvIS0B,Kwania District,Aduku Town Council,Aduku HC IV,JCRC_Kigezi Lango Region,,mbLlXELR4Nb,WEH3aMvIS0B,Kwania District,Aduku Town Council,Aduku HC IV,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,487,272,215,37,21,66,43,42,33,52,42,31,30,23,24,11,14,10,8,487,0,94,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,9,10,7,8,11,9,9,2,4,2,2,2,0,32,16,57,34,32,26,44,31,22,21,21,20,9,12,8,8,101,0,0,99,2,0,0,1,1,489,485,0,0,0,13,1,148,7,4,1,2,5,28,25,32
Kampala,wepUthscBkh,Kampala District,Lubaga Division,Kawaala Health Centre HC III,ROM_Kampala Region,,S6dXQldpHbE,wepUthscBkh,Kampala District,Lubaga Division,Kawaala Health Centre HC IV,ROM_Kampala Region,87040,CDC,Oct-Dec 2024,,,1466,1037,429,26,6,138,70,374,135,290,117,97,32,63,38,32,22,17,9,1466,0,322,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,19,18,85,37,59,27,29,13,10,4,6,3,2,3,19,6,119,52,289,98,231,90,68,19,53,34,26,19,15,6,986,16,6,963,1,0,0,1,31,1460,1457,0,0,0,0,83,420,0,0,0,0,1,0,0,0
North Central,werOrHbzh72,Nakasongola District,Lwampanga Town Council,Lwampanga HC III,WALTER REED_MUWRP,,rEKTBtze3PW,werOrHbzh72,Nakasongola District,Lwampanga Town Council,Lwampanga HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,47,22,25,2,2,4,4,6,1,7,4,2,4,,4,,5,1,1,47,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,6,1,7,4,2,4,0,4,0,5,1,1,17,0,0,17,0,0,0,0,10,41,47,0,0,0,1,2,2,0,29,0,1,0,0,0,0
North Central,WezVXLK01Ry,Buvuma District,Lyabaana Town Council,Nkata HC II,WALTER REED_MUWRP,,LORUa2M9P70,WezVXLK01Ry,Buvuma District,Lyabaana Town Council,Nkata HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,2,1,1,,,,,,,,,,,1,1,,,,,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,41,0,0,41,0,0,0,0,16,282,2,0,0,0,0,0,1,0,255,0,0,0,0,1,0
Kampala,WGc7kKRhPaH,Kampala District,Nakawa Division,Murchision Bay Hospital,UPS,,RPc6dmfQZOA,WGc7kKRhPaH,Kampala District,Nakawa Division,Murchision Bay Main Hospital,,,,Oct-Dec 2024,Site has outputs but not on DAPOTS list,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,311,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
West Nile,WggT6i6Q5kH,Arua City,Arua Central Division,River Oli HC IV,IDI_West Nile Region,,kryRVf0p2wI,WggT6i6Q5kH,Arua City,Arua Central Division,River Oli HC IV,IDI_West Nile Region,84981,CDC,Oct-Dec 2024,,,1539,941,598,120,39,300,136,256,150,130,107,74,59,34,51,17,28,10,28,1539,0,9,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,1,1,0,0,0,0,0,0,120,39,299,134,256,147,129,107,73,58,34,51,17,28,10,28,637,35,2,599,1,0,96,121,1483,100,1361,0,0,0,4,44,305,0,13,23,241,57,7,18,21
North Central,wgSmdZGeb5I,Nakasongola District,Kalungi Subcounty,Kalungi (Kalungi) HC III,WALTER REED_MUWRP,,r52dkDJ0qHY,wgSmdZGeb5I,Nakasongola District,Kalungi Subcounty,Kalungi (Kalungi) HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,9,3,6,,,,2,,2,,1,1,,2,,,,,1,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,2,0,0,0,0,1,2,0,0,2,0,0,0,0,2,8,9,0,0,0,0,0,7,0,1,0,0,0,0,0,0
Kigezi,WiDK75EptX5,Kanungu District,Kihiihi Town Council,Kihihi HC IV,JCRC_Kigezi Lango Region,,NW4W5FzxyIh,WiDK75EptX5,Kanungu District,Kihiihi Town Council,Kihihi HC IV,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,555,376,179,91,21,160,49,78,49,30,21,12,21,4,7,1,7,,4,555,0,339,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,8,96,30,65,21,25,11,8,10,4,2,1,4,0,1,38,13,64,19,13,28,5,10,4,11,0,5,0,3,0,3,579,0,0,579,0,0,0,0,5,921,552,0,0,0,27,39,167,0,0,4,16,1,0,7,13
Lango,wip6c7jL6E0,Oyam District,Kamdini Town Council,Kamdini HC II,JCRC_Kigezi Lango Region,,wGmtoQVSt9y,wip6c7jL6E0,Oyam District,Kamdini Town Council,Kamdini HC II,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,165,127,38,8,9,44,11,33,6,19,5,10,4,7,2,4,,2,1,165,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,44,11,33,6,19,5,10,4,7,2,4,0,2,1,123,0,0,123,0,0,0,0,167,7,165,0,0,0,0,0,27,0,0,0,0,0,1,0,24
Tooro,wisJV65CjPt,Kyegegwa District,Mpara Town Council,Mpara HC III,Baylor Fort Portal_Mubende Region,,lrE1oTBko7S,wisJV65CjPt,Kyegegwa District,Mpara Town Council,Mpara HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,80,76,4,19,,41,1,12,1,1,,3,1,,,,,,1,80,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,41,1,12,1,1,0,3,1,0,0,0,0,0,1,74,0,0,74,0,0,0,0,0,83,80,0,0,0,0,2,5,0,0,0,0,0,0,1,1
South Central,wKczE4oVqOy,Kalungu District,Kalungu Town Council,Kalungu HC III,IDI_Masaka Wakiso Region,,pCCteoR5h4x,wKczE4oVqOy,Kalungu District,Kalungu Town Council,Kalungu HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,49,19,30,,,7,10,2,8,4,4,,2,2,2,2,1,2,3,49,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,2,8,4,4,0,2,2,2,2,1,2,3,8,0,0,8,0,0,0,0,8,41,49,0,0,0,0,1,7,0,0,0,4,0,0,6,16
Ankole,Wmc36bI5m96,Ibanda District,Bufunda Division,Bufunda HC III,TASO_Ankole Acholi Region,,Nz3K6OAHyj5,Wmc36bI5m96,Ibanda District,Bufunda Division,Bufunda HC III,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,614,462,152,125,19,176,47,100,48,32,18,9,8,12,6,4,5,4,1,614,0,54,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,17,6,3,8,2,1,0,1,1,0,1,0,0,0,115,15,159,41,97,40,30,17,9,7,11,6,3,5,4,1,445,0,0,445,0,0,1,0,36,599,613,0,1,1,0,5,147,0,0,0,0,0,0,17,19
North Central,WqoBdlGeBgn,Mityana District,Ttamu Division,Magala HC III,Baylor Fort Portal_Mubende Region,,zce0vdIdzdA,WqoBdlGeBgn,Mityana District,Ttamu Division,Magala HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,117,46,71,3,8,19,12,14,16,4,12,2,6,1,8,1,5,2,4,117,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,19,12,14,16,4,12,2,6,1,8,1,5,2,4,54,9,0,45,0,0,0,0,70,50,117,0,0,0,2,2,62,0,0,0,0,0,0,2,0
South Central,WuDi4LmzEWV,Sembabule District,Ntuusi Town Council,Ntuusi HC IV,IDI_Masaka Wakiso Region,,FUA5PQXjQXN,WuDi4LmzEWV,Sembabule District,Ntuusi Town Council,Ntuusi HC IV,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,114,74,40,14,3,33,4,21,8,5,11,,6,,3,1,3,,2,114,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,33,4,21,8,5,11,0,6,0,3,1,3,0,2,79,0,0,79,0,0,0,0,9,112,114,0,0,0,14,4,21,6,0,0,8,0,0,1,0
South Central,X1RkzMg2Hn1,Mpigi District,Buwama Subcounty,Bunjako HC III,IDI_Masaka Wakiso Region,,o0Om1J5ph6k,X1RkzMg2Hn1,Mpigi District,Buwama Subcounty,Bunjako HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,120,42,78,4,6,14,12,5,14,7,13,6,14,5,9,,4,1,6,120,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,14,12,5,14,7,13,6,14,5,9,0,4,1,6,10,0,0,10,0,0,0,0,9,117,120,0,0,0,0,0,2,0,98,0,7,0,0,9,0
Ankole,x5X8VtL2T0e,Sheema District,Shuuku Town Council,Shuuku HC IV,TASO_Ankole Acholi Region,,MI8rhJzY0ta,x5X8VtL2T0e,Sheema District,Shuuku Town Council,Shuuku HC IV,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,172,108,64,17,2,56,25,22,11,10,14,1,5,1,6,,,1,1,172,0,3,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,17,2,55,25,22,10,10,14,1,5,0,6,0,0,1,1,112,0,0,112,0,0,0,0,7,171,158,0,0,0,5,0,57,0,0,0,0,0,0,9,0
South Central,X7iYabwpJfR,Kyotera District,Mutukula Town Council,Mutukula HC III,IDI_Masaka Wakiso Region,,HozMTujtEfX,X7iYabwpJfR,Kyotera District,Mutukula Town Council,Mutukula HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,103,50,53,9,1,6,11,13,9,11,8,3,11,5,4,2,7,1,2,103,0,17,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,2,1,4,1,0,0,1,0,0,8,1,5,9,11,8,10,6,2,7,4,4,2,6,1,2,36,0,0,33,3,0,0,0,9,109,101,0,0,0,1,1,16,0,0,2,32,5,0,0,11
Bunyoro,Xa2GHu3YN8X,Kikuube District,Kabwoya Subcounty,Sebigoro HC III,Baylor_Hoima Region,,jzlOmyafjZ7,Xa2GHu3YN8X,Kikuube District,Kabwoya Subcounty,Sebigoro HC III,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,86,35,51,12,4,8,17,9,10,3,5,2,7,1,4,,1,,3,86,0,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,4,8,17,8,10,3,5,2,7,1,4,0,1,0,3,8,0,0,8,0,0,3,0,35,75,86,0,0,0,3,0,2,0,97,1,0,0,0,0,0
Lango,XazfKCvCCLS,Amolatar District,Amolatar Town Council,Amolatar HC IV,JCRC_Kigezi Lango Region,,fDlQx7nXPLd,XazfKCvCCLS,Amolatar District,Amolatar Town Council,Amolatar HC IV,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,132,64,68,6,7,33,13,15,20,6,17,3,10,1,1,,,,,132,0,14,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,0,4,0,0,0,0,0,0,0,0,6,7,30,12,12,17,6,13,3,10,1,1,0,0,0,0,61,0,0,61,0,0,1,0,24,110,132,0,0,0,0,0,0,0,70,0,0,0,0,0,2
North Central,xFu5BXdkrZj,Kayunga District,Galiraya Subcounty,Kawongo HC III,WALTER REED_MUWRP,,IAi3GJS8Ptr,xFu5BXdkrZj,Kayunga District,Galiraya Subcounty,Kawongo HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,70,41,29,7,2,15,6,5,5,3,5,9,1,,3,,2,2,5,70,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,15,6,5,5,3,5,9,1,0,3,0,2,2,5,14,0,0,14,0,0,0,0,6,71,70,0,0,0,0,19,8,0,35,0,0,0,0,1,0
Teso,XHgTvnlWtW0,Katakwi District,Ngariam Subcounty,Ngariam HC III,AIC_Soroti Region,,ObAXbNqsxGz,XHgTvnlWtW0,Katakwi District,Ngariam Subcounty,Ngariam HC III,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,17,12,5,,,1,2,2,1,6,2,1,,1,,1,,,,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,6,2,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,17,17,0,0,0,0,1,5,0,0,0,0,0,0,6,2
Tooro,XI4OsjZYmtZ,Kasese District,Nyamwamba Division,Kasese Municipal Council HC III,Baylor Fort Portal_Mubende Region,,vNIrXDwcGwk,XI4OsjZYmtZ,Kasese District,Nyamwamba Division,Kasese Municipal Council HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,397,293,104,57,14,90,28,62,18,46,15,16,10,14,8,5,3,3,8,397,0,27,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,6,0,5,0,2,0,2,0,1,0,0,0,55,14,81,28,56,18,41,15,14,10,12,8,4,3,3,8,312,6,0,306,0,0,1,2,43,420,395,0,0,0,2,35,78,0,0,1,13,7,0,5,3
North Central,xjHpvNlTb1J,Luwero District,Makulubita Subcounty,Makulubita HC III,WALTER REED_MUWRP,,UKxTqhF7DVN,xjHpvNlTb1J,Luwero District,Makulubita Subcounty,Makulubita HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,21,19,2,1,,3,,4,,2,1,3,,3,1,2,,1,,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,2,1,3,0,3,1,2,0,1,0,11,0,0,8,0,3,0,1,9,12,21,0,0,0,0,2,1,0,0,0,1,0,0,5,0
Bugisu,XJnDlwQcKju,Mbale City,Northern Division,Namakwekwe HC III,Baylor_Eastern Region,,a88VbG5tObG,XJnDlwQcKju,Mbale City,Northern Division,Namakwekwe HC III,Baylor_Eastern Region,82001,USAID,Oct-Dec 2024,,,81,53,28,5,1,12,3,12,9,8,3,4,6,8,1,3,2,1,3,81,0,19,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,5,0,0,1,6,0,0,0,1,0,4,1,11,3,8,9,3,3,4,5,2,1,3,2,0,3,46,1,0,44,1,0,0,0,25,58,65,0,1,1,2,10,17,0,0,0,3,1,0,4,0
Ankole,xK1lURyBlFC,Isingiro District,Kikagate Town Council,Kikagate HC III,TASO_Ankole Acholi Region,,dBBdk4e1xGM,xK1lURyBlFC,Isingiro District,Kikagate Town Council,Kikagate HC III,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,229,216,13,39,,119,4,50,7,6,1,1,,,,,,1,1,229,0,21,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,3,1,0,0,0,0,0,0,0,0,0,0,33,0,108,4,47,6,6,1,1,0,0,0,0,0,1,1,219,0,0,219,0,0,0,0,228,3,226,0,0,0,0,0,8,0,0,0,3,0,0,1,0
Bukedi,XLCbIsJWmxG,Busia District,Masafu Town Council,Masafu Hospital,MJAP_East Central Region,,LfiYvul4YmS,XLCbIsJWmxG,Busia District,Masafu Town Council,Masafu Hospital,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,30,18,12,1,,3,3,2,1,2,,4,3,3,2,,3,3,,30,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,1,2,0,4,3,3,2,0,3,3,0,4,0,0,4,0,0,0,0,33,5,8,0,0,0,0,2,1,0,2,1,7,1,0,13,7
Tooro,xLXQrhFHr7A,Kyegegwa District,Kyegegwa Town Council,Kyegegwa HC IV,Baylor Fort Portal_Mubende Region,,OgssyaJufEO,xLXQrhFHr7A,Kyegegwa District,Kyegegwa Town Council,Kyegegwa Hospital,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,553,373,180,58,17,111,28,111,53,54,47,28,15,10,15,,4,1,1,553,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,17,111,28,111,53,54,47,28,15,10,15,0,4,1,1,372,12,3,353,4,0,0,1,0,558,551,0,0,0,8,8,143,0,0,1,1,1,7,16,0
Bunyoro,xO0dHAa2wFK,Kiryandongo District,Diima Subcounty,Diima HC III,Baylor_Hoima Region,,yh3A24akxee,xO0dHAa2wFK,Kiryandongo District,Diima Subcounty,Diima HC III,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,88,72,16,10,2,26,5,18,5,10,2,5,2,3,,,,,,88,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,26,5,18,5,10,2,5,2,3,0,0,0,0,0,74,0,0,74,0,0,0,0,0,91,88,0,0,0,0,0,16,0,0,0,0,0,0,0,1
